SubName,SubAddress,SubEmail,SubTrait,SubPhoneNumber,InvitationStatus,BidStatus,QuoteRecieved,Project,ProjectAddress
Premium Park Products,,phil@premiumparkproducts.com,SITE FURNISHINGS,(507) 881 6269,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Natural Structures Inc.,,jennifer@naturalstructures.com ,LANDSCAPE,(541) 523-0224,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
V&E Tree Service,,john@vetreeservice.com,LANDSCAPE,(714) 997-0903,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
J.V. Landclearing Company Inc.,,,LANDSCAPE,(909) 592 2811,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Griffith Company,,kmcleod@griffithcompany.net,,(714) 984-5500,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Mission Paving and Sealing, Inc.",,info@missionpaving.com,PAVING,(626) 452-8200,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Modern Masonry,,,MASONRY,(619) 447-5438,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DAVIS FRAMING,,,FRAMING,(619) 463-2394,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Foster Construction,,roger@fostergrading.com,GRADING,(661) 296-2486,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Summer Construction, Inc.",,summer.construction@hotmail.com,UTILITIES; GRADING,(805) 933-9364,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Tall Tree Engineering,,contact@talltreeengineering.com,,(707) 841-2001,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Electro Construction Corp,,ru@electroconstruction.com; brenton@electroconstruction.com,ELECTRICAL,(213) 305 0052; (323) 660-4141,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Sunset Electrical Contractors, Inc.",,bids@sunsetaudiovsiual.com ,ELECTRICAL,(909) 948-8851,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Thompson Builders Corporation,,bids@tbcorp.com,,(415) 456-8972,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Taft Electric Company,,atostado@taftelectric.com,ELECTRICAL,(805) 642-0121,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Crosstown Electrical & Data, Inc.",,dave@crosstowndata.com ,ELECTRICAL,(626) 813-6693,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
USA SHADE and Fabric Structures,,michele.estrella@usa-shade.com,SHADE STRUCTURES,(714) 427-6981,Responsive,Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"C.S. Legacy Construction, Inc.",,richard@cslegacy.net,CONCRETE,(909) 590-2626,,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Great Western Installations, Inc",,tyler@gwpark.com,,(435) 760 5103,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ACE ELECTRIC INC,,Mario.G@aceelectricinc.com,ELECTRICAL,(619) 521 9740; (619) 814 4780,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
All American Asphalt,,publicworks@allamericanasphalt.com,ASPHALT,(951) 736 7600,,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PDPlay,,mike@pdplay.com ,PLAYGROUND EQUIPMENT,(760) 597-5990,,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Crimson Marie Company,,,,(951) 406-9787,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Pacific Coast Land Design, Inc.",,opportunities@pc-ld.com,LANDSCAPING,(951) 683-2197,,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"EMTS, Inc.",,nancya@eliteteamoffices.com,LANDSCAPING,(559) 292 2900,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Trueline Construction & Surfacing, Inc",,Trueline400@gmail.com,,(951) 817-0777,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
Miracle Playground Sales,,kelly.spence@miracleplayground.com,,(951) 695-4515,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Toro Enterprises, Inc.",,craig@toroenterprises.com,,(805) 483-4515,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Lni Custom Manufacturing, Inc.",,,,(310) 978-2000,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
"Slade Industrial Landscape, Inc.",,davidb@sladeindlandscape.com,,(818) 342 1911; (818) 921 2770,,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
" Dahl Air Conditioning, Inc. (HVAC)",,jefft@dahlac.com,HVAC,(805) 964 2002,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Deep Blue Integration (Fire Sprinklers),,service@deepblueintegration.com,Fire Sprinklers,(888) 600 0324,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Reds Iron Specialties, Inc. (Metals)",,planroom@hpsmechanical.com,Metals,(661) 799 9615,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
JMG Electric LLC (Electrical),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
JnL Glass (Storefront/Skylights),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Reed Mechanical (HVAC),,ryanr@reedmechsys.com,HVAC,(805) 768 6824,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
A - PLUS FIRE PROTECTION INC,P O BOX 4781,jimopasorobles@yahoocom,PIPE TRADES,(805) 226 0790,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
A C L CONSTRUCTION COMPANY INC,P O BOX 1929,jordan@aclrailscom,OPERATING ENG,(909) 629-8189,,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
A T I DRYWALL AND METAL FRAMING INC,873 CALIMEX PL,aticonstruction@charternet,"DRYWALL/LATHERS, CARPENTERS, LABORERS, DRYWALL FINISHER",(805) 929-6513,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
A&E CABINETS LLC,7330 HOLLISTER AVE,ASM215@GMAILCOM,"CARPENTERS, MILLWRIGHTS",(805) 685 8077,Phone disconnected,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
Shorline (Struc Steel); ,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
CA Woodworking (Mill Work); ,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
J&L Glass (Glazing); ,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
Commercial Flooring Solutions (Flooring);,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
Pacific Acoustics (Acoustic Ceiling); SB Surfacing (Epoxy Floor/Hydronic Cement); Tech-Wall (Fabric Panels); GW Surface (Counter Tops); Reed Mechanical (HVAC);,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
Pacific Acoustics (Acoustic Ceiling),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 SB Surfacing (Epoxy Floor/Hydronic Cement),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Tech-Wall (Fabric Panels),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 GW Surface (Counter Tops),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ABATEX, LLC",650 WARD DR SUITE #100,INFO@ABATEXENVIRONMENTAL.COM,"LABORERS, DEMOLITION",(833)-248-0688,Responsive,Bidding,QuoteReceived,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
HPS Mechanical (Plumbing); Deep Blue Fire Sprinklers (Fire Sprinklers); Good Service Electric (Electrical/FA/Date); Cal Pro Paint (Paint),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
HPS Mechanical (Plumbing),,,,(661) 397 2121,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Deep Blue Fire Sprinklers (Fire Sprinklers),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Good Service Electric (Electrical/FA/Date),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Cal Pro Paint (Paint),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
MEC (Demo); Shorline (Struc Steel); CA Woodworking (Mill Work); Channel Island Roofing (Roofing); J&L Glass (Glazing); Commercial Flooring Solutions (Flooring);,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
MEC (Demo),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Shorline (Struc Steel),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 CA Woodworking (Mill Work),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Channel Island Roofing (Roofing),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 J&L Glass (Glazing),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Commercial Flooring Solutions (Flooring),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
Pacific Acoustics (Acoustic Ceiling); SB Surfacing (Epoxy Floor/Hydronic Cement); Tech-Wall (Fabric Panels); GW Surface (Counter Tops); Reed Mechanical (HVAC);,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
Pacific Acoustics (Acoustic Ceiling),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 SB Surfacing (Epoxy Floor/Hydronic Cement),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Tech-Wall (Fabric Panels),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 GW Surface (Counter Tops),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Reed Mechanical (HVAC),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
HPS Mechanical (Plumbing); Deep Blue Fire Sprinklers (Fire Sprinklers); Good Service Electric (Electrical/FA/Date); Cal Pro Paint (Paint),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
HPS Mechanical (Plumbing),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Deep Blue Fire Sprinklers (Fire Sprinklers),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Good Service Electric (Electrical/FA/Date),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Cal Pro Paint (Paint),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"MEC, Inc. (Demo); Reds Iron Specialties, Inc. (Metals); Salem Cabinetry, Inc. (Casework); Top Doors, Inc. (Openings & Hadrware); JnL Glass, Inc. (Glazing & AL Partition Assem.)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"MEC, Inc. (Demo)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ABC RESOURCES ,1527 W STATE ST,,ASPHALT,(909) 988-0390,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Salem Cabinetry, Inc. (Casework)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" JnL Glass, Inc. (Glazing & AL Partition Assem.)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"Best Interiors, Inc. (Metal Stud Framing, Gypsum, Acoustical Ceiling); Floor Connection, Inc. (Flooring); Santa Barbara Surfacing, Inc. (self-leveling underlayment,epoxy, polish",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ABC SCHOOL EQUIPMENT, INC.",1451 E 6TH STREET,DREID@ABCSECOM,CARPENTERS,(951) 817-2200,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Santa Barbara Surfacing, Inc. (self-leveling underlayment,epoxy, polish",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" New Generation Painting, Inc. (Painting); Baja Signs Group, Inc. (Vinyl Wall Covering & Signage); Deep Blue Integration, Inc. (Fire Sprinklers & Fire Alarm);",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" New Generation Painting, Inc. (Painting)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Baja Signs Group, Inc. (Vinyl Wall Covering & Signage)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Deep Blue Integration, Inc. (Fire Sprinklers & Fire Alarm)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"HPS Mechanical, Inc. (Plumbing); Smith MEP (HVAC); Prestige Electric Services (Electric.); Tech-Wall of Ventura, Inc. (Fabric wrapped acoustic panel); Dash Low Voltage (Comm.)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"HPS Mechanical, Inc. (Plumbing)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Smith MEP (HVAC),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Prestige Electric Services (Electric.),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Tech-Wall of Ventura, Inc. (Fabric wrapped acoustic panel)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Dash Low Voltage (Comm.),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"New Generation Painting (Painting); Santa Barbara Surfacing, Inc. (Epoxy Flooring); Reliable Floor Covering, Inc. (Flooring); Southern Valley Steel (Steel); JMG Electric, LLC (Electric);",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
New Generation Painting (Painting),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Santa Barbara Surfacing, Inc. (Epoxy Flooring)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Reliable Floor Covering, Inc. (Flooring)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Southern Valley Steel (Steel),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" JMG Electric, LLC (Electric)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
,,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"Finish Wood Works, Inc. (Cabinets); Deep Blue Integration (Fire Sprinklers); Sena Plumbing (Plumbing); Signet Controls, Inc. (Controls); JnL Glass, Inc. (Storefront); MEC (Demo)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"Finish Wood Works, Inc. (Cabinets)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ABDELLATIF ENTERPRISES, INC.",26072 MERIT CIRCLE SUITE 103,MARGIE@ABDELLATIFENTERPRISESCOM,,(949) 215 4790,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 Sena Plumbing (Plumbing),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" Signet Controls, Inc. (Controls)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
" JnL Glass, Inc. (Storefront)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
 MEC (Demo),,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ADS Construction (Metal Framing/Drywall); Dahl Air Conditioning, Inc. (HVAC); Central Coast Acoustic Ceiling (Acoustical Ceiling); Tech-Wall (Acoustical Panels)",,,,,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ACACIA ENVIRONMENTAL CONSTRUCTION INC,604 S SAN MARCOS ROAD,estimating@acaciaeccom,LABORERS,(805) 964 2585,Not Bidding,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ACCO ENGINEERED SYSTEMS, INC.",888 E WALNUT STREET,JARROZAL@ACCOESCOM,HVAC,(858) 695-3977,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ACH MECHANICAL CONTRACTORS, INC.",411 BUSINESS CENTER COURT,kleon@achmechanical.com,PIPE TRADES,(909) 307 2850,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ACOUSTIC SOLUTIONS,3461 W ASHLAN AVE,ACOUSTICSOLUTIONS2@SBCGLOBALNET,"DRYWALL/LATHERS, DRYWALL FINISHER",(559) 276 9467,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ACOUSTICWORKS INC,662 AERO WAY,estimating@acousticworks.net,ACOUSTICAL CEILING,(760) 480 1113,Responsive,Bidding,QuoteReceived,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ACRYLIC TECHNOLOGIES, INC.",7251 GALILEE RD SUITE 190,JIM@ACRYLICTECHNOLOGIESINCCOM,"ELECTRICIANS, SOUND/COMM",(916)-216-2461,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ADVANCED LANDSCAPE,,kamyar@advancedlandscape2000.com,LANDSCAPE,(818) 591 2345,Responsive,Bidding,QuoteReceived,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ADVANTAGE DEMOLITION AND GRADING INC,27574 COMMERCE CENTER DRIVE STE 130,PAYROLL@ADGSOCALCOM,LABORERS,(909) 321 5220,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"AIR INNOATIONS, INC",4227 E MAIN STREET SUITE 112,GREENAIRLOGIC@GMAILCOM,SHEET METAL,(562)-818-3137,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ALAN ROINESTAD CONSTRUCTION AND MANAGEMENT, INC.",2646 INDUSTRIAL PARKWAY SUITE 100,INFO@ALANROINESTADCOM,LABORERS,(805) 925-8779,,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ALCO MECHANICAL,3553 ATLANTIC AVE #B1317,SALES@ALCOMECHANICALCOM,SHEET METAL,(888) 226-7737,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ALL AMERICAN INTEGRATED,,,UTILITIES,(714) 921 4100,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ALLIANCE READY MIX, INC.",138 W BRANCH ST STE A,DANIELLE@ALLIANCEREADYMIXINCCOM,LABORERS,805-550-7278,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ALPHA FIRE CORPORATION,650 SWEENEY LANE,ERIK@ALPHAFSACOM,,(805) 541-2527,,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
ALPHA FIRE UNLIMITED,650 SWEENEY LANE,erik@alphafsa.com,ELECTRICIANS,(805) 541 2324,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"AMERICAN BUILDING AUTOMATION, INC.",5528 EVERGLADES STREET,estimating@abainc.biz,HVAC,(805) 658 0165,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
AMERICAN COATINGS,316-A NORTH FIRST STREET,americancoatings@dfkinccom,"PLASTERERS, PLASTERERS, OPERATING ENG, OPERATING ENG",(760) 807-2257,,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"AMERICAN INTEGRATED RESOURCES, INC.",2341 NORTH PACIFIC STREET,MDUFFY@AMERICANINTEGRATEDCOM,,(714) 921 4100,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"AMG & ASSOCIATES, INC.",26535 SUMMIT CIRCLE,ALBERT@AMGASSOCIATESINCCOM,CARPENTERS,(661) 251 7401,Not Bidding,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ANDERSON SYSTEMS, INC",75 B ROBIN HILL ROAD,JOHNANDERSON@ANDERSYSCOM,PIPE TRADES,(805) 683 6133,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
APCO,P O BOX 790,NoEmail@mailcom,LABORERS,(559) 651 7900,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"APEX FIRE PROTECTION, INC.",2155 VERDUGO BLVD #220,APEXFIREINC@YAHOOCOM,PIPE TRADES,(818) 957 3400,Responsive,Invited,QuoteReceived,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"APPLIED FINISHES, INC.",36 BELLARMINE CT,ACCOUNTING@APPLIEDFINISHESNET,PAINTERS,(530) 345 1319,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ARROW SIGNS HC, INC.",42085 VANDAMERE CT,NoEmail@mailcom,LABORERS,(951) 813-1053,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ATASCADERO GLASS, INC.",8730 EL CAMINO REAL,MWIEBE@ATASCADEROGLASSCOM,LABORERS,(805) 466 2644,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ATASCADERO GLASS, INC.",8730 EL CAMINO REAL,MWIEBE@ATASCADEROGLASSCOM,LABORERS,(805) 466 2644,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ATI DRYWALL, INC.",873 CALIMEX PL,BRITTNIE@ATICONSTCOM,CARPENTERS,(805) 929 6513,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ATI DRYWALL, INC.",873 CALIMEX PL,BRITTNIE@ATICONSTCOM,,(805) 929 6513,,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"ATKINSON CONCRETE CONSTRUCTION, INC.",9071 PALOMAR AVE,ATKINSONCONCRETEESTIMATING@ATTNET,"CEMENT MASONS, CARPENTERS",(805) 462 2715,Responsive,Bidding,QuoteReceived,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
AVANCE CONCRETE SAWING,1021 MAPLEWOOD WAY,AVANCEMAYRA@GMAILCOM,LABORERS,(805) 223 4015,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
AYCON DEMOLITION & CONCRETE,,,DEMOLITION,(858) 531 3212,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BARTO J R HEATING / AIR - CONDITIONING / SHEET METAL INC,P O BOX 2720,"Ross@jrbarto.com, faron, michelle","SHEET METAL, PIPE TRADES",(805) 928 5486,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BC RINCON CONSTRUCTION,300 MONTGOMERY AVE,BCRINCON@MSNCOM,"LABORERS, OPERATING ENG",(805) 200 8173,Not Bidding,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BEACHSIDE PLUMBING,101 ARNOLD PLACE SUITE C,,SubContractor,(805) 683 7745,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"BENNER AND CARPENTER, INC.",506 E MAIN STREET,STEPHS@BCSURVEYCOM,SURVEYORS,(805) 525-3396,Responsive,Bidding,QuoteReceived,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"Best Interiors, Inc. (Metal Stud Framing, Gypsum, Acoustical Ceiling)",,estimating@bestinteriors.net,"Metal Stud Framing, Gypsum, Acoustical Ceilings",(714) 490 7999,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BEST ROOFING,605 WIL-EV DR,rgarcia@bestcontracting.com,ROOFING,(310) 864 0104,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"BIG WAKOO FENCE, INC",358 E ORMONDE RD,BIGWAKOOFENCE@GMAILCOM,LABORERS,(805) 473 4964,Not Bidding,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BLUDOG TELECOM INC.,2370 SANTIAGO CT,CHRIS@BLUDOGTELECOMCOM,ELECTRICIANS,(805) 853-3003,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"BLUE IRON FOUNDATIONS AND SHORING, LLC",3545 CARLIN DRIVE,RACHEL@BLUEIRONLLCCOM,STRUCTURAL STEEL,(916) 272-0790,Not Bidding,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"BLUM & SONS ELECTRIC, INC.",606 LINDEN AVENUE,tjohnson@blumelectric.com,ELECTRICIANS,(805) 684 1010,Responsive,Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BOB'S BACKHOE & TRUCKING,6051 STOW CANYON ROAD,Donya@bobsbackhoeinccom,LABORERS,(805) 967 5849,Not Bidding,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BOEGER ROBERT PLASTERING INC,P O BOX 495,noraboblucy@yahoocom,"DRYWALL/LATHERS, PLASTERERS",(530) 878 4726,Responsive,Invited,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BOWEN ENGINEERING AND ENVIRONMENTAL,4664 S. CEDAR AVENUE,office@bowendemo.com,LANDSCAPE,(559) 233 7468,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
"BRADLEY TANKS, INC",402 HARTZ AVENUE BUILDING C,NCHRISTENSEN@BTIENVIRONMENTALCOM,LABORERS,(760)-642-2712,,,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BRAGG INVESTMENT COMPANY INC,6242 PARAMOUNT BLVD,LYNNNICHOLSON@BRAGGCRANECOM,STRUCTURAL STEEL,(562) 984 2400,Responsive,Not Bidding,,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
BRENTWOOD SHEET METAL,812 WATERWAY LANE,,SHEET METAL,(820) 799 0948,Responsive,Bidding,QuoteReceived,9079,"27 S LA PATERA LN, GOLETA, CA 93117"
