Category,Attribute,Value
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/5/2023
Antenna Height,Time,8:40:03 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/6/2023
Rover Setup,Time,10:24:03 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/6/2023
Antenna Height,Time,10:24:03 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/7/2023
Rover Setup,Time,9:04:56 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/7/2023
Antenna Height,Time,9:04:56 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/11/2023
Rover Setup,Time,8:08:05 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/11/2023
Antenna Height,Time,8:08:05 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/12/2023
Rover Setup,Time,1:16:31 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/12/2023
Antenna Height,Time,1:16:31 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/13/2023
Rover Setup,Time,7:02:19 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/13/2023
Antenna Height,Time,7:02:19 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/13/2023
Rover Setup,Time,12:26:47 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/13/2023
Antenna Height,Time,12:26:47 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/14/2023
Rover Setup,Time,8:45:10 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/14/2023
Antenna Height,Time,8:45:10 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/15/2023
Rover Setup,Time,7:17:45 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/15/2023
Antenna Height,Time,7:17:45 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,9/15/2023
Tilt Compensation,Time,8:08:27 AM
Tilt Compensation,Tilt Compensation,Disabled
Tilt Compensation,Date,9/15/2023
Tilt Compensation,Time,8:12:22 AM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,9/18/2023
Rover Setup,Time,7:14:21 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/18/2023
Antenna Height,Time,7:14:21 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/18/2023
Rover Setup,Time,2:49:30 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/18/2023
Antenna Height,Time,2:49:30 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/19/2023
Rover Setup,Time,7:02:50 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/19/2023
Antenna Height,Time,7:02:50 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/19/2023
Rover Setup,Time,1:02:14 PM
Rover Setup,Base name,AUTO0000
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°52'51.21595"" N"
Rover Setup,Base longitude,"117°11'57.71338"" W"
Rover Setup,Base height,275.086 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/19/2023
Antenna Height,Time,1:02:14 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/20/2023
Rover Setup,Time,6:52:50 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/20/2023
Antenna Height,Time,6:52:50 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/20/2023
Rover Setup,Time,1:02:30 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/20/2023
Antenna Height,Time,1:02:30 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/21/2023
Rover Setup,Time,7:08:29 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/21/2023
Antenna Height,Time,7:08:29 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/21/2023
Rover Setup,Time,1:00:02 PM
Rover Setup,Base name,AUTO0000
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°52'51.21595"" N"
Rover Setup,Base longitude,"117°11'57.71338"" W"
Rover Setup,Base height,275.086 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/21/2023
Antenna Height,Time,1:00:02 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/22/2023
Rover Setup,Time,7:23:43 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/22/2023
Antenna Height,Time,7:23:43 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/25/2023
Rover Setup,Time,7:36:11 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/25/2023
Antenna Height,Time,7:36:11 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/26/2023
Rover Setup,Time,6:59:16 AM
Rover Setup,Base name,AUTO0000
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°52'51.21595"" N"
Rover Setup,Base longitude,"117°11'57.71338"" W"
Rover Setup,Base height,275.086 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/26/2023
Antenna Height,Time,6:59:16 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,9/26/2023
Tilt Compensation,Time,7:05:20 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,9/26/2023
Static Mode Settings,Time,7:06:09 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,9/26/2023
Static Mode Settings,Time,7:06:09 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,9/26/2023
System Check,Time,7:06:34 AM
System Check,Point name,140
System Check,Measured N,1910090.656 usft
System Check,Measured E,6283624.192 usft
System Check,Measured Z,397.983 usft
System Check,Delta N,0.012 usft
System Check,Delta E,0.040 usft
System Check,Delta Elv,0.059 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Static Mode Settings,Date,9/26/2023
Static Mode Settings,Time,7:06:47 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,9/26/2023
System Check,Time,7:07:07 AM
System Check,Point name,140
System Check,Measured N,1910090.652 usft
System Check,Measured E,6283624.192 usft
System Check,Measured Z,397.973 usft
System Check,Delta N,0.008 usft
System Check,Delta E,0.040 usft
System Check,Delta Elv,0.069 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Tilt Compensation,Date,9/26/2023
Tilt Compensation,Time,7:07:18 AM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,9/26/2023
Rover Setup,Time,12:56:45 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/26/2023
Antenna Height,Time,12:56:45 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/27/2023
Rover Setup,Time,6:58:55 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/27/2023
Antenna Height,Time,6:58:55 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
eBubble Calibration,Date,9/28/2023
eBubble Calibration,Time,10:04:47 AM
eBubble Calibration,Status,Failed
eBubble Calibration,Date,9/28/2023
eBubble Calibration,Time,10:05:35 AM
eBubble Calibration,Status,Successful
Rover Setup,Date,9/28/2023
Rover Setup,Time,10:05:39 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/28/2023
Antenna Height,Time,10:05:39 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/29/2023
Rover Setup,Time,8:08:08 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/29/2023
Antenna Height,Time,8:08:08 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/29/2023
Rover Setup,Time,9:22:40 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/29/2023
Antenna Height,Time,9:22:41 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,9/29/2023
Rover Setup,Time,11:30:12 AM
Rover Setup,Base name,AUTO0000
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°52'51.21595"" N"
Rover Setup,Base longitude,"117°11'57.71338"" W"
Rover Setup,Base height,275.086 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,9/29/2023
Antenna Height,Time,11:30:12 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,9/29/2023
Tilt Compensation,Time,11:31:44 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,9/29/2023
Static Mode Settings,Time,11:37:07 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,9/29/2023
Static Mode Settings,Time,11:37:07 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Rover Setup,Date,9/29/2023
Rover Setup,Time,1:48:05 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,9/29/2023
Antenna Height,Time,1:48:05 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Static Mode Settings,Date,9/29/2023
Static Mode Settings,Time,2:09:34 PM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,9/29/2023
System Check,Time,2:13:24 PM
System Check,Point name,140
System Check,Measured N,1910090.637 usft
System Check,Measured E,6283624.205 usft
System Check,Measured Z,397.988 usft
System Check,Delta N,0.007 usft
System Check,Delta E,0.053 usft
System Check,Delta Elv,0.054 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Rover Setup,Date,10/2/2023
Rover Setup,Time,6:51:45 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,10/2/2023
Antenna Height,Time,6:51:45 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Static Mode Settings,Date,10/2/2023
Static Mode Settings,Time,7:00:07 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,10/2/2023
Static Mode Settings,Time,7:00:07 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,10/2/2023
System Check,Time,7:00:53 AM
System Check,Point name,140
System Check,Measured N,1910090.646 usft
System Check,Measured E,6283624.183 usft
System Check,Measured Z,397.992 usft
System Check,Delta N,0.002 usft
System Check,Delta E,0.031 usft
System Check,Delta Elv,0.050 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Tilt Compensation,Date,10/2/2023
Tilt Compensation,Time,7:01:04 AM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,10/2/2023
Rover Setup,Time,12:59:07 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,10/2/2023
Antenna Height,Time,12:59:07 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,10/3/2023
Rover Setup,Time,6:45:55 AM
Rover Setup,Base name,AUTO0000
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°52'51.21595"" N"
Rover Setup,Base longitude,"117°11'57.71338"" W"
Rover Setup,Base height,275.086 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,10/3/2023
Antenna Height,Time,6:45:55 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,10/3/2023
Rover Setup,Time,11:07:18 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,10/3/2023
Antenna Height,Time,11:07:18 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,10/3/2023
Rover Setup,Time,1:02:04 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,10/3/2023
Antenna Height,Time,1:02:04 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,10/4/2023
Rover Setup,Time,6:15:22 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,10/4/2023
Antenna Height,Time,6:15:22 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,10/4/2023
Tilt Compensation,Time,6:23:27 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,10/4/2023
Static Mode Settings,Time,6:24:22 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
